Comment,Designator,Footprint,LCSC
1k,R17,R_0402_1005Metric,C11702
STM32F401CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825
OPA350,U3,SOIC-8_3.9x4.9mm_P1.27mm,C13388
JST,J1,JST-SR-4,C145956
220p,C10,C_0402_1005Metric,C1530
4.7u,C1,C_0402_1005Metric,C23733
100,"R3,R4,R5,R6,R7",R_0402_1005Metric,C25076
100k,"R10,R11,R12,R13,R14,R15,R16,R18,R19,R20,R21,R22,R23,R24,R25,R8,R9",R_0402_1005Metric,C25741
10k,"R26,R27,R28",R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
PRTR5V0U2X,D1,SOT-143,C2827688
TYPEC-304YSSW-ACP16,USB1,TYPEC-304YSSW-ACP16,C2840392
100n,"C11,C12,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C307331
1u,"C13,C2,C3",C_0402_1005Metric,C52923
XC6206PxxxMR,U5,SOT-23,C5446
74HC4051,"U2,U4",TSSOP16,C5645
500mA,F1,Fuse_1206_3216Metric,C70076
8 MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C907975
